Player Name,Team Name,Nationality,Height,Weight,Age,Foot,Rating,Primary position,Secondary positions,Backup positions,Overall Rating,League,Region,offensive_awareness,ball_control,dribbling,tight_possession,low_pass,lofted_pass,finishing,heading,set_piece_taking,curl,defensive_awareness,tackling,aggression,defensive_engagement,speed,acceleration,kicking_power,jumping,physical_contact,balance,stamina,gk_awareness,gk_catching,gk_parrying,gk_reflexes,gk_reach,weak_foot_usage,weak_foot_accuracy,form,injury_resistance
E. Berisha,Empoli A,Albania,194,92,34,Left foot,C,GK,['Goalkeeper'],[],72,Italian League,Europe,44,53,48,46,54,58,43,47,48,46,51,46,44,58,60,58,72,64,70,53,55,67,66,68,66,69,Rarely,Medium,Unwavering,High
E. Çekiçi,Pendikspor,Albania,178,68,27,Right foot,C,AMF,"['Centre Midfielder', 'Attacking Midfielder', 'Left Wing Forward', 'Right Wing Forward']","['Defensive Midfielder', 'Left Midfielder', 'Right Midfielder', 'Second Striker']",71,Trendyol Süper Lig,Europe,64,73,74,66,70,66,63,54,68,71,51,49,60,56,71,77,69,59,53,68,66,40,40,40,40,40,Occasionally,Very High,Standard,Low
R. Manaj,Sivasspor,Albania,182,76,26,Right foot,C,CF,['Centre Forward'],"['Right Wing Forward', 'Second Striker']",71,Trendyol Süper Lig,Europe,71,67,63,62,59,52,69,61,57,60,48,47,55,61,68,66,65,69,69,68,60,40,40,40,40,40,Regularly,Very High,Standard,Medium
T. Xhaka,FC Basel 1893,Albania,172,72,32,Right foot,C,DMF,"['Left Back', 'Right Back', 'Defensive Midfielder']","['Centre Back', 'Centre Midfielder', 'Right Midfielder', 'Attacking Midfielder']",71,Credit Suisse Super League,Europe,55,62,57,62,70,68,52,54,58,50,62,72,81,77,54,65,73,62,70,71,81,40,40,40,40,40,Rarely,Medium,Unwavering,Low
A. Mehmeti,Bristol R,Albania,180,63,22,Right foot,C,LMF,"['Centre Midfielder', 'Left Midfielder', 'Attacking Midfielder', 'Left Wing Forward', 'Right Wing Forward']","['Right Midfielder', 'Second Striker']",70,English 2nd Division,Europe,61,66,71,65,67,64,63,47,64,70,51,44,52,46,72,77,67,60,55,72,69,40,40,40,40,40,Rarely,Medium,Inconsistent,Medium
E. Mihaj,FC Famalicão,Albania,186,78,25,Right foot,C,CB,['Centre Back'],[],70,Liga Portugal Betclic,Europe,51,57,52,53,61,58,49,71,48,51,70,71,67,70,61,55,67,72,74,59,65,40,40,40,40,40,Rarely,Medium,Standard,Low
L. Sadiku,Kasımpaşa SK,Albania,181,72,32,Right foot,C,DMF,"['Defensive Midfielder', 'Centre Midfielder']",['Centre Back'],70,Trendyol Süper Lig,Europe,56,65,60,64,69,63,51,63,56,60,68,69,77,65,59,63,72,69,68,63,74,40,40,40,40,40,Rarely,Medium,Standard,Low
K. Dermaku,Lecce GR,Albania,195,83,31,Right foot,C,CB,['Centre Back'],['Left Back'],70,Italian League,Europe,49,56,53,55,60,57,51,69,49,51,68,68,73,66,60,57,61,66,76,53,64,40,40,40,40,40,Rarely,Medium,Standard,Low
A. Abrashi,Grasshopper Club Zürich,Albania,172,71,33,Right foot,C,DMF,"['Defensive Midfielder', 'Centre Midfielder']","['Left Midfielder', 'Attacking Midfielder']",70,Credit Suisse Super League,Europe,55,63,58,63,65,62,52,51,53,60,66,75,83,79,52,65,70,64,66,73,80,40,40,40,40,40,Rarely,Medium,Unwavering,Low
F. Veseli,Fatih Karagümrük,Albania,183,78,31,Right foot,C,RB,"['Centre Back', 'Right Back']","['Left Back', 'Defensive Midfielder', 'Right Midfielder']",70,Trendyol Süper Lig,Europe,60,62,60,60,63,63,55,69,56,57,68,71,67,67,72,67,61,70,62,66,73,40,40,40,40,40,Rarely,Medium,Standard,Medium
S. Shpendi,Empoli A,Albania,181,74,20,Right foot,C,CF,['Centre Forward'],"['Attacking Midfielder', 'Right Wing Forward', 'Second Striker']",69,Italian League,Europe,65,70,68,69,61,56,69,57,56,60,46,45,50,53,71,70,65,56,63,69,64,40,40,40,40,40,Rarely,Medium,Standard,Medium
S. Kalaj,Frosinone GA,Albania,193,78,23,Right foot,C,CB,['Centre Back'],[],69,Italian League,Europe,50,56,52,52,56,59,47,65,50,52,68,69,69,64,60,59,65,61,73,52,62,40,40,40,40,40,Rarely,High,Standard,Medium
M. Çuni,Frosinone GA,Albania,188,78,22,Right foot,C,CF,['Centre Forward'],"['Left Wing Forward', 'Right Wing Forward', 'Second Striker']",68,Italian League,Europe,67,62,61,60,55,52,70,65,56,53,44,45,50,49,64,60,67,65,70,59,62,40,40,40,40,40,Rarely,Medium,Standard,Medium
S. Merkaj,FC Südtirol,Albania,188,80,26,Right foot,C,CF,['Centre Forward'],['Second Striker'],68,Serie BKT,Europe,70,61,58,55,57,51,68,67,56,50,44,44,48,55,60,64,70,65,71,63,62,40,40,40,40,40,Rarely,Medium,Standard,Medium
E. Kabashi,AC Reggiana 1919,Albania,177,70,29,Left foot,C,CMF,['Centre Midfielder'],"['Defensive Midfielder', 'Left Midfielder', 'Right Midfielder', 'Attacking Midfielder']",68,Serie BKT,Europe,59,72,65,67,68,72,60,53,63,67,59,60,61,58,63,66,68,56,57,63,68,40,40,40,40,40,Rarely,Medium,Standard,Medium
A. Bajrami,SL Benfica,Albania,188,78,21,Left foot,C,CB,['Centre Back'],['Left Back'],67,Liga Portugal Betclic,Europe,43,63,56,60,60,62,42,69,51,52,65,66,64,71,61,60,70,69,65,61,74,40,40,40,40,40,Rarely,Medium,Standard,Medium
E. Kraja,Ascoli Calcio 1898 F.C.,Albania,181,78,23,Right foot,C,CMF,"['Defensive Midfielder', 'Centre Midfielder']","['Centre Back', 'Attacking Midfielder']",67,Serie BKT,Europe,61,68,62,62,68,71,60,56,60,60,55,58,62,64,61,60,70,60,64,62,73,40,40,40,40,40,Rarely,Medium,Standard,Medium
E. Rroca,İstanbulspor,Albania,182,75,30,Right foot,C,CMF,"['Centre Midfielder', 'Attacking Midfielder']","['Defensive Midfielder', 'Left Midfielder', 'Left Wing Forward', 'Second Striker']",67,Trendyol Süper Lig,Europe,63,73,67,66,71,70,59,57,66,70,53,55,60,57,62,60,69,56,61,54,65,40,40,40,40,40,Rarely,Medium,Unwavering,Medium
K. Bozhanaj,Modena FC,Albania,180,70,22,Right foot,C,SS,"['Attacking Midfielder', 'Second Striker']",['Centre Forward'],67,Serie BKT,Europe,65,70,65,63,60,57,69,56,50,56,44,46,49,46,66,70,64,60,57,62,66,40,40,40,40,40,Occasionally,Medium,Inconsistent,Medium
M. Berisha,Lecce GR,Albania,186,70,20,Right foot,C,CMF,"['Centre Midfielder', 'Attacking Midfielder']",['Defensive Midfielder'],66,Italian League,Europe,60,67,64,62,69,67,57,52,60,60,59,60,62,57,60,65,60,57,64,59,72,40,40,40,40,40,Occasionally,High,Standard,High
E. Zukaj,Grasshopper Club Zürich,Albania,194,84,21,Right foot,C,CB,['Centre Back'],[],64,Credit Suisse Super League,Europe,47,53,48,52,53,59,47,69,50,46,69,62,66,63,60,52,59,57,68,47,57,40,40,40,40,40,Almost Never,Medium,Standard,Low
L. Buzi,FC Südtirol,Albania,184,78,18,Left foot,C,CF,['Centre Forward'],"['Right Wing Forward', 'Second Striker']",63,Serie BKT,Europe,66,62,57,59,57,52,65,65,55,52,42,44,44,48,60,57,68,60,65,50,58,40,40,40,40,40,Rarely,Medium,Standard,Medium
L. Hetemi,Vejle BK,Albania,170,64,23,Right foot,D,CMF,['Centre Midfielder'],"['Left Back', 'Defensive Midfielder', 'Attacking Midfielder']",62,3F Superliga,Europe,57,63,62,67,65,63,60,53,62,65,55,60,62,64,60,68,60,62,53,62,67,40,40,40,40,40,Rarely,Medium,Inconsistent,Medium
D. Alaba,Madrid Chamartin B,Austria,180,78,31,Left foot,C,CB,"['Centre Back', 'Left Back', 'Defensive Midfielder', 'Centre Midfielder', 'Left Midfielder']","['Right Back', 'Attacking Midfielder', 'Left Wing Forward']",81,Spanish League,Europe,60,74,68,72,77,78,56,65,77,77,80,76,70,77,74,72,75,73,67,72,72,40,40,40,40,40,Almost Never,High,Unwavering,Low
K. Laimer,FC Bayern München,Austria,180,72,26,Right foot,C,CMF,"['Right Back', 'Defensive Midfielder', 'Centre Midfielder', 'Right Midfielder']",['Attacking Midfielder'],78,Other (Europe),Europe,62,70,66,64,73,70,64,60,55,63,69,69,79,74,77,73,68,71,72,74,85,40,40,40,40,40,Rarely,High,Unwavering,Low
K. Danso,RC Lens,Austria,190,87,25,Right foot,C,CB,['Centre Back'],[],77,Ligue 1 Uber Eats,Europe,52,62,56,55,64,61,48,72,53,51,72,73,75,71,74,65,55,74,79,54,68,40,40,40,40,40,Rarely,Medium,Unwavering,High
P. Lienhart,Free Agents,Austria,189,82,27,Right foot,C,CB,['Centre Back'],['Defensive Midfielder'],77,Free Agent,Europe,54,64,59,61,65,65,56,75,53,55,72,75,71,71,65,69,60,73,76,58,70,40,40,40,40,40,Rarely,Medium,Unwavering,Medium
G. Trauner,Feyenoord Rotterdam,Austria,183,82,31,Right foot,C,CB,['Centre Back'],"['Defensive Midfielder', 'Centre Midfielder']",76,Eredivisie,Europe,54,65,59,60,67,68,53,74,56,60,74,74,67,74,64,60,70,76,77,56,71,40,40,40,40,40,Almost Never,Medium,Standard,Medium
M. Sabitzer,Free Agents,Austria,178,76,29,Right foot,C,CMF,"['Centre Midfielder', 'Attacking Midfielder']","['Defensive Midfielder', 'Left Midfielder']",76,Free Agent,Europe,66,73,71,75,75,72,67,59,70,70,60,65,75,71,66,72,78,65,67,70,72,40,40,40,40,40,Rarely,High,Standard,Low
N. Seiwald,Free Agents,Austria,179,70,22,Right foot,C,CMF,"['Defensive Midfielder', 'Centre Midfielder']","['Right Midfielder', 'Attacking Midfielder']",75,Free Agent,Europe,63,73,70,74,75,72,59,57,66,64,60,58,62,71,69,72,69,61,62,68,79,40,40,40,40,40,Almost Never,Medium,Unwavering,High
C. Baumgartner,Free Agents,Austria,178,68,24,Right foot,C,AMF,"['Attacking Midfielder', 'Left Wing Forward']","['Centre Midfielder', 'Left Midfielder', 'Right Midfielder', 'Second Striker', 'Centre Forward']",75,Free Agent,Europe,63,75,77,70,72,67,68,59,64,69,51,53,67,63,72,79,69,74,66,72,73,40,40,40,40,40,Occasionally,Very High,Standard,Low
S. Posch,Bologna RB,Austria,190,82,26,Right foot,C,RB,"['Centre Back', 'Right Back']",['Right Midfielder'],75,Italian League,Europe,61,65,63,60,69,67,58,73,54,60,69,74,72,73,72,69,69,72,74,66,76,40,40,40,40,40,Rarely,Medium,Unwavering,Medium
F. Kainz,Free Agents,Austria,175,71,31,Right foot,C,LWF,"['Left Midfielder', 'Attacking Midfielder', 'Left Wing Forward']","['Right Midfielder', 'Right Wing Forward']",75,Free Agent,Europe,67,69,75,63,71,68,67,59,63,66,49,51,59,49,74,80,68,60,60,74,69,40,40,40,40,40,Occasionally,Very High,Standard,Low
M. Wöber,Leeds W,Austria,188,85,25,Left foot,C,CB,"['Centre Back', 'Left Back']",[],75,English 2nd Division,Europe,54,60,56,58,63,65,51,72,63,60,71,72,76,73,65,60,67,72,75,55,70,40,40,40,40,40,Rarely,Medium,Inconsistent,Low
F. Grillitsch,Free Agents,Austria,187,73,28,Right foot,C,DMF,"['Defensive Midfielder', 'Centre Midfielder']","['Left Midfielder', 'Right Midfielder', 'Attacking Midfielder']",75,Free Agent,Europe,62,77,66,73,77,79,60,66,68,65,71,67,61,68,64,61,74,62,71,58,69,40,40,40,40,40,Rarely,Medium,Unwavering,Low
M. Gregoritsch,Free Agents,Austria,193,87,29,Left foot,C,CF,"['Second Striker', 'Centre Forward']","['Left Midfielder', 'Right Midfielder', 'Attacking Midfielder', 'Left Wing Forward', 'Right Wing Forward']",75,Free Agent,Europe,70,73,69,70,66,67,72,68,74,76,49,49,55,55,68,59,81,64,71,58,66,40,40,40,40,40,Almost Never,High,Standard,Low
M. Arnautović,Internazionale Milano,Austria,192,83,34,Right foot,C,CF,"['Left Midfielder', 'Right Midfielder', 'Left Wing Forward', 'Right Wing Forward', 'Centre Forward']","['Attacking Midfielder', 'Second Striker']",75,Italian League,Europe,71,73,70,71,68,63,71,70,64,70,43,45,59,64,68,63,75,61,75,60,67,40,40,40,40,40,Rarely,High,Unwavering,Low
P. Mwene,Free Agents,Austria,170,68,29,Right foot,C,RB,"['Left Back', 'Right Back']","['Left Midfielder', 'Right Midfielder']",74,Free Agent,Europe,60,65,69,60,66,64,60,56,60,65,64,69,69,62,78,81,72,66,58,68,75,40,40,40,40,40,Occasionally,High,Standard,Low
V. Lazaro,Torino G,Austria,180,76,27,Right foot,C,RMF,"['Right Back', 'Left Midfielder', 'Right Midfielder', 'Right Wing Forward']","['Left Back', 'Attacking Midfielder', 'Left Wing Forward', 'Second Striker']",74,Italian League,Europe,64,69,70,69,69,64,62,56,62,71,63,62,62,69,76,78,70,58,62,72,70,40,40,40,40,40,Rarely,Medium,Inconsistent,Low
H. Lindner,Free Agents,Austria,187,80,33,Right foot,C,GK,['Goalkeeper'],[],74,Free Agent,Europe,40,49,44,43,51,55,40,45,48,41,45,45,47,59,50,49,70,69,69,51,51,69,68,66,75,74,Almost Never,Medium,Standard,Medium
P. Wimmer,Free Agents,Austria,182,77,22,Right foot,C,RWF,"['Right Midfielder', 'Right Wing Forward']","['Right Back', 'Left Midfielder', 'Attacking Midfielder', 'Left Wing Forward']",73,Free Agent,Europe,60,66,72,65,63,63,60,56,56,61,58,57,65,64,80,82,65,64,62,71,79,40,40,40,40,40,Rarely,Medium,Unwavering,Low
E. Kara,Samsunspor,Austria,192,88,27,Right foot,C,CF,['Centre Forward'],['Second Striker'],73,Trendyol Süper Lig,Europe,71,61,60,63,56,50,72,69,58,58,43,42,64,50,69,62,74,59,83,55,74,40,40,40,40,40,Occasionally,High,Standard,Medium
R. Schmid,Free Agents,Austria,168,69,23,Right foot,C,AMF,"['Centre Midfielder', 'Attacking Midfielder', 'Second Striker']","['Defensive Midfielder', 'Left Midfielder']",73,Free Agent,Europe,64,75,77,79,74,67,61,53,63,68,54,51,58,53,67,76,66,66,61,74,66,40,40,40,40,40,Rarely,Medium,Standard,Medium
H. Wolf,New York City B,Austria,179,71,24,Left foot,C,LWF,"['Left Midfielder', 'Right Midfielder', 'Attacking Midfielder', 'Left Wing Forward', 'Right Wing Forward']","['Centre Midfielder', 'Second Striker']",73,American League,Europe,67,70,71,67,70,70,64,55,60,70,50,55,69,60,70,75,67,62,60,71,66,40,40,40,40,40,Occasionally,Very High,Standard,Low
D. Bachmann,Watford BY,Austria,191,81,29,Right foot,C,GK,['Goalkeeper'],[],73,English 2nd Division,Europe,40,49,40,40,50,51,40,40,48,45,41,40,48,58,51,49,68,61,74,53,50,68,66,70,71,73,Rarely,Medium,Standard,Medium
M. Grüll,Free Agents,Austria,184,74,25,Right foot,C,LWF,['Left Wing Forward'],"['Centre Midfielder', 'Left Midfielder', 'Attacking Midfielder', 'Second Striker', 'Centre Forward']",72,Free Agent,Europe,65,63,68,60,58,59,68,55,63,64,49,52,60,60,79,78,69,61,66,67,72,40,40,40,40,40,Occasionally,Very High,Unwavering,Medium
M. Cham,Clermont Foot 63,Austria,180,67,23,Left foot,C,AMF,['Attacking Midfielder'],"['Centre Midfielder', 'Left Midfielder', 'Right Midfielder', 'Left Wing Forward', 'Right Wing Forward', 'Second Striker', 'Centre Forward']",72,Ligue 1 Uber Eats,Europe,67,68,73,65,69,70,66,47,65,72,50,54,60,57,79,75,69,60,50,72,65,40,40,40,40,40,Rarely,Medium,Standard,Low
P. Pentz,Brøndby IF,Austria,184,80,26,Left foot,B,GK,['Goalkeeper'],[],72,3F Superliga,Europe,40,48,42,41,48,53,40,45,48,40,45,42,44,58,48,50,68,74,69,53,53,71,66,66,70,69,Rarely,Very High,Standard,Medium
F. Daniliuc,Free Agents,Austria,188,79,22,Right foot,C,CB,"['Centre Back', 'Right Back']","['Left Back', 'Defensive Midfielder']",72,Free Agent,Europe,51,60,58,58,64,66,44,68,48,63,70,72,69,67,68,61,57,62,75,59,65,40,40,40,40,40,Occasionally,High,Standard,Medium
A. Schöpf,Vancouver BW,Austria,178,75,29,Right foot,C,CMF,"['Centre Midfielder', 'Right Midfielder', 'Attacking Midfielder', 'Right Wing Forward']","['Defensive Midfielder', 'Left Midfielder', 'Left Wing Forward']",72,American League,Europe,64,70,69,66,67,67,62,53,58,62,58,61,63,75,68,71,66,58,60,70,83,40,40,40,40,40,Regularly,High,Standard,Low
A. Weimann,Free Agents,Austria,178,76,32,Right foot,C,SS,"['Centre Midfielder', 'Attacking Midfielder', 'Left Wing Forward', 'Right Wing Forward', 'Second Striker', 'Centre Forward']","['Defensive Midfielder', 'Left Midfielder', 'Right Midfielder']",72,Free Agent,Europe,66,71,66,67,68,64,69,60,68,70,53,56,62,60,71,69,72,62,58,71,73,40,40,40,40,40,Occasionally,Medium,Standard,Medium
L. Querfeld,Free Agents,Austria,190,83,20,Right foot,C,CB,['Centre Back'],"['Right Back', 'Defensive Midfielder']",71,Free Agent,Europe,51,58,55,57,60,62,52,73,53,49,70,72,70,73,63,58,61,67,70,59,63,40,40,40,40,40,Rarely,Medium,Standard,Medium
N. Hedl,Free Agents,Austria,190,80,22,Right foot,C,GK,['Goalkeeper'],[],71,Free Agent,Europe,40,50,45,47,52,55,40,46,48,41,42,46,45,60,54,50,69,68,65,57,48,67,63,66,68,71,Rarely,Medium,Standard,Medium
A. Prass,Free Agents,Austria,180,72,22,Left foot,C,LMF,['Left Midfielder'],"['Left Back', 'Right Midfielder', 'Attacking Midfielder', 'Left Wing Forward']",71,Free Agent,Europe,60,66,71,64,61,67,68,54,67,70,52,59,64,63,74,68,75,63,64,69,77,40,40,40,40,40,Almost Never,Medium,Standard,Medium
M. Entrup,Free Agents,Austria,187,73,26,Right foot,C,CF,['Centre Forward'],['Second Striker'],71,Free Agent,Europe,71,60,62,60,60,58,73,69,56,50,44,47,49,53,65,60,71,68,69,59,68,40,40,40,40,40,Rarely,Medium,Unwavering,High
Y. Demir,Galatasaray SK,Austria,173,69,20,Left foot,C,RWF,"['Attacking Midfielder', 'Right Wing Forward']","['Centre Midfielder', 'Right Midfielder', 'Left Wing Forward', 'Second Striker']",71,Trendyol Süper Lig,Europe,62,74,77,68,61,62,60,53,62,68,46,49,50,54,73,77,60,55,51,77,59,40,40,40,40,40,Occasionally,Medium,Inconsistent,Medium
M. Svoboda,Venezia FC,Austria,195,90,25,Right foot,C,CB,"['Centre Back', 'Defensive Midfielder']",[],71,Serie BKT,Europe,49,58,54,55,59,61,50,65,51,52,69,70,68,64,61,60,59,64,76,51,64,40,40,40,40,40,Rarely,Medium,Standard,High
R. Windbichler,San Antonio FC,Austria,183,72,32,Right foot,C,CB,['Centre Back'],['Defensive Midfielder'],71,USL Championship,Europe,53,58,56,60,53,60,50,68,58,59,71,70,73,67,62,65,62,71,67,56,70,40,40,40,40,40,Rarely,Medium,Standard,Low
J. Jantscher,Kitchee SC,Austria,181,69,34,Right foot,C,CF,"['Left Midfielder', 'Second Striker', 'Centre Forward']","['Right Midfielder', 'Attacking Midfielder', 'Left Wing Forward', 'Right Wing Forward']",70,AFC Champions League,Europe,64,70,68,62,67,70,67,58,64,73,51,48,58,55,72,69,71,56,61,69,72,40,40,40,40,40,Rarely,High,Standard,Medium
Christoph Klarer,Birmingham B,Austria,191,83,23,Right foot,C,CB,['Centre Back'],[],70,English 2nd Division,Europe,48,56,49,53,55,60,48,71,50,54,68,69,72,67,63,57,65,66,75,59,69,40,40,40,40,40,Rarely,Medium,Standard,Medium
Nikola Dovedan,Fatih Karagümrük,Austria,171,70,29,Right foot,C,SS,"['Second Striker', 'Centre Forward']","['Left Midfielder', 'Attacking Midfielder', 'Left Wing Forward']",70,Trendyol Süper Lig,Europe,66,68,66,73,68,60,67,52,64,67,53,48,62,63,62,75,68,66,54,72,67,40,40,40,40,40,Rarely,High,Inconsistent,Medium
Darijo Grujcic,Fortuna Sittard,Austria,188,80,24,Left foot,C,CB,['Centre Back'],['Left Back'],70,Eredivisie,Europe,44,56,51,52,54,60,42,68,48,60,71,67,73,65,62,57,69,63,75,56,65,40,40,40,40,40,Rarely,Medium,Standard,Medium
Jonas Wendlinger,Almere City FC,Austria,192,85,23,Right foot,C,GK,['Goalkeeper'],[],70,Eredivisie,Europe,40,53,55,43,53,55,40,46,51,42,59,47,44,58,54,53,62,64,62,57,52,69,64,63,70,68,Rarely,Medium,Standard,Medium
M. Seidl,Free Agents,Austria,175,72,22,Right foot,C,AMF,"['Centre Midfielder', 'Attacking Midfielder']","['Defensive Midfielder', 'Right Midfielder', 'Second Striker']",70,Free Agent,Europe,65,70,68,71,69,65,64,56,61,65,52,54,59,58,68,73,70,59,59,65,69,40,40,40,40,40,Regularly,Very High,Standard,Medium
A. Vallçi,FC St. Gallen 1879,Austria,191,78,28,Right foot,C,CB,"['Centre Back', 'Right Back']","['Left Back', 'Right Midfielder']",70,Credit Suisse Super League,Europe,54,59,58,52,55,56,53,68,55,58,63,67,70,72,74,60,64,64,70,52,76,40,40,40,40,40,Rarely,High,Standard,Medium
Felix Bacher,GD Estoril Praia,Austria,190,81,23,Right foot,C,CB,['Centre Back'],[],69,Liga Portugal Betclic,Europe,48,60,53,56,60,61,42,70,55,53,63,69,72,67,60,60,69,62,74,60,72,40,40,40,40,40,Rarely,Medium,Standard,Medium
S. Sprangler,St. Johnstone FC,Austria,182,77,28,Right foot,C,CMF,"['Defensive Midfielder', 'Centre Midfielder']",['Attacking Midfielder'],69,cinch Scottish Premiership,Europe,62,66,65,70,70,71,54,49,58,60,60,65,72,66,64,62,66,65,63,60,72,40,40,40,40,40,Rarely,Medium,Standard,Low
M. Ullmann,Venezia FC,Austria,180,70,27,Left foot,C,LB,['Left Back'],['Left Midfielder'],69,Serie BKT,Europe,56,60,62,58,63,67,51,53,64,69,58,61,67,63,73,71,70,66,64,60,73,40,40,40,40,40,Occasionally,High,Standard,High
